대학,가게 이름,메뉴,주소,메뉴 평점,인터넷 평점,내 평점,총 내 평점
성균관대 맛집,화이트스노우빙수 성균관대점,빙수,경기 수원시 장안구 서부로 2132 1층,-1,4.53,0.0,4.53
성균관대 맛집,써브웨이 수원성균관대점,샌드위치,경기 수원시 장안구 서부로 2066 성균관대학교 학생회관 2층,-1,4.52,0.0,4.52
성균관대 맛집,따띠삼겹 성균관대점,돼지고기구이,서울 종로구 성균관로 3 1층,-1,4.51,0.0,4.51
성균관대 맛집,한솥도시락 성균관대앞점,"도시락,컵밥",서울 종로구 성균관로 26,-1,4.49,0.0,4.49
성균관대 맛집,지지고 성균관대점,"도시락,컵밥",서울 종로구 명륜3길 11-6,-1,4.47,0.0,4.47
성균관대 맛집,스타벅스 수원성균관대점,카페,경기 수원시 장안구 서부로 2131,-1,4.45,0.0,4.45
성균관대 맛집,대동집 수원성균관대점,요리주점,경기 수원시 장안구 율전로108번길 15,-1,4.44,0.0,4.44
성균관대 맛집,맥도날드 성균관대점,햄버거,서울 종로구 창경궁로 241-1 김해만치과의원,-1,4.42,0.0,4.42
성균관대 맛집,띵똥와플,와플,서울 종로구 성균관로 9-1 1층,-1,4.41,0.0,4.41
성균관대 맛집,맥도날드 수원 성균관대점,햄버거,경기 수원시 장안구 서부로 2127,-1,4.38,0.0,4.38
성균관대 맛집,백채김치찌개 성균관대점,"찌개,전골",경기 수원시 장안구 서부로2105번길 21 101호,-1,4.34,0.0,4.34
성균관대 맛집,이디야커피 성균관대점,카페,서울 종로구 성균관로 8,-1,4.31,0.0,4.31
고려대 맛집,연리지,요리주점,서울 성북구 동소문로20다길 11 2층 연리지,-1,4.89,0.0,4.89
고려대 맛집,베나레스 본점,인도음식,서울 성북구 고려대로24길 27 2층 베나레스,-1,4.72,0.0,4.72
고려대 맛집,문화식당,요리주점,서울 성북구 보문로30나길 37,-1,4.71,0.0,4.71
고려대 맛집,수아당,김밥,서울 성북구 동소문로20가길 33,-1,4.68,0.0,4.68
고려대 맛집,오레노카츠 신설동점,돈가스,서울 동대문구 왕산로3길 10,-1,4.66,0.0,4.66
고려대 맛집,liike coffee,카페,서울 성북구 보문로34가길 24,-1,4.63,0.0,4.63
고려대 맛집,긴자료코 성신여대점,돈가스,서울 성북구 보문로34가길 5,-1,4.6,0.0,4.6
고려대 맛집,야마토텐동,일식당,서울 성북구 고려대로28길 2 1층 야마토텐동,-1,4.58,0.0,4.58
고려대 맛집,쵸이양식,양식,서울 성북구 동소문로20나길 26-1 2층 쵸이양식,-1,4.58,0.0,4.58
고려대 맛집,본크레페,크레페,서울 성북구 동소문로20다길 30,-1,4.58,0.0,4.58
고려대 맛집,디어브레드 고대점,베이커리,서울 성북구 개운사1길 29,-1,4.57,0.0,4.57
고려대 맛집,계모임,닭요리,서울 성북구 보문로30라길 5-10,-1,4.56,0.0,4.56
고려대 맛집,반듯한잔,요리주점,서울 성북구 동소문로22길 80,-1,4.54,0.0,4.54
고려대 맛집,오샬,인도음식,서울 성북구 고려대로24길 6 문원빌딩 3층,-1,4.54,0.0,4.54
고려대 맛집,즐거운맛 돈까스,돈가스,서울 동대문구 왕산로 15-1 2층 즐거운맛돈까스,-1,4.53,0.0,4.53
고려대 맛집,이공김밥 안암본점,김밥,서울 성북구 안암로 61-6,-1,4.52,0.0,4.52
고려대 맛집,버거파크,햄버거,서울 성북구 동소문로22길 56-1,-1,4.52,0.0,4.52
고려대 맛집,나정순할매쭈꾸미,주꾸미요리,서울 동대문구 무학로 144,-1,4.45,0.0,4.45
고려대 맛집,팔백집,돼지고기구이,서울 성북구 보문로30길 46 1층,-1,4.44,0.0,4.44
고려대 맛집,최고당돈가스 성신여대점,돈가스,서울 성북구 보문로34길 77,-1,4.44,0.0,4.44
건대 맛집,장미술상 건대점,요리주점,서울 광진구 아차산로31길 3-6 1~2층 장미술상,-1,4.96,0.0,4.96
건대 맛집,오마카세 오사이초밥 건대본점,일식당,서울 광진구 군자로 14 1층,-1,4.79,0.0,4.79
건대 맛집,심야식당 후타리,이자카야,서울 광진구 동일로22길 32,-1,4.79,0.0,4.79
건대 맛집,마초쉐프 건대점,이탈리아음식,서울 광진구 능동로 125 2층 마초쉐프 건대점,-1,4.69,0.0,4.69
건대 맛집,꾸아 건대점,베트남음식,서울 광진구 군자로3길 9,-1,4.68,0.0,4.68
건대 맛집,도단집,돼지고기구이,서울 광진구 동일로24길 60,-1,4.66,0.0,4.66
건대 맛집,모츠커피,카페,서울 광진구 군자로3길 14 1층,-1,4.65,0.0,4.65
건대 맛집,고기굽는놈,"육류,고기요리",서울 광진구 아차산로31길 8 고기굽는놈,-1,4.64,0.0,4.64
건대 맛집,카페 그자체 베이커리,베이커리,서울 광진구 능동로13길 65 2층,-1,4.58,0.0,4.58
건대 맛집,경성양육관,양꼬치,서울 광진구 동일로18길 52,-1,4.58,0.0,4.58
건대 맛집,라구뜨,뷔페,서울 광진구 능동로 90 더클래식500 B동 3층,-1,4.56,0.0,4.56
건대 맛집,화기애애 건대본점,"육류,고기요리",서울 광진구 아차산로31길 16,-1,4.55,0.0,4.55
건대 맛집,육성회비,요리주점,서울 광진구 동일로24길 19 1층,-1,4.54,0.0,4.54
건대 맛집,코후쿠,이자카야,서울 광진구 아차산로29길 24 2층 코후쿠이자카야,-1,4.54,0.0,4.54
건대 맛집,오코노미야키식당하나,일식당,서울 광진구 능동로13길 111,-1,4.52,0.0,4.52
건대 맛집,일레븐 라운지,바(BAR),서울 광진구 동일로 172 호텔 더 디자이너스 프리미어 건대점 20층 21층,-1,4.51,0.0,4.51
건대 맛집,새로이,요리주점,서울 광진구 능동로17길 5 / 1층 새로이,-1,4.49,0.0,4.49
건대 맛집,릴리베이커리,베이커리,서울 광진구 능동로13길 21 1층 릴리베이커리,-1,4.49,0.0,4.49
건대 맛집,송화양꼬치,양꼬치,서울 광진구 동일로18길 70,-1,4.48,0.0,4.48
건대 맛집,로니로티 건대점,이탈리아음식,서울 광진구 아차산로 225 단산화빌딩,-1,4.47,0.0,4.47
